Model,0-25%,25-50%,50-75%,75-100%,Reference Model Quartile
gpt-4-1106-preview,0.0,0.25641025641025633,0.10476190476190476,0.7333333333333334,75-100%
gpt-4-0613,0.2809698283824899,0.21666666666666667,0.2571428571428572,0.5166666666666667,75-100%
koala-13b,0.4545454545454545,-0.19999999999999998,0.3333333333333334,0.19999999999999998,0-25%
gpt-3.5-turbo-0613,0.4065934065934066,0.13333333333333333,0.009523809523809525,0.5166666666666667,75-100%
mistral-medium,0.33333333333333337,0.4545454545454545,0.1208791208791209,0.41666666666666663,75-100%
llama-2-13b-chat,0.3333333333333333,0.2087912087912088,0.4976133515281193,0.21666666666666667,25-50%
mistral-7b-instruct,0.0,0.46153846153846145,-0.14285714285714288,0.26666666666666666,0-25%
gpt-3.5-turbo-0314,0.606060606060606,-0.3333333333333334,0.0,1.0,50-75%
vicuna-13b,0.4666666666666666,0.2928895930645031,0.009523809523809525,0.4267819784654187,25-50%
gpt-4-0314,0.5047619047619049,0.44199569608786393,-0.13333333333333333,0.38333333333333336,75-100%
mixtral-8x7b-instruct-v0.1,-1.0,0.05128205128205127,0.14285714285714285,0.5833333333333334,75-100%
gemini-pro,-1.0,0.14285714285714288,-0.2727272727272727,0.5151515151515151,75-100%
claude-2.0,-0.03871048305693819,0.5238095238095238,0.18681318681318684,0.25941649671427414,75-100%
vicuna-7b,0.4476190476190477,0.018181818181818184,0.3333333333333333,0.2857142857142857,0-25%
guanaco-33b,0.0909090909090909,-0.06666666666666665,0.6666666666666669,-0.39999999999999997,25-50%
chatglm3-6b,0.0,0.022222222222222223,0.03827795011754764,0.00836827408755723,0-25%
openchat-3.5,0.7999999999999999,0.1272727272727273,-0.18095238095238098,0.0,50-75%
pplx-70b-online,0.33333333333333337,-0.3090909090909091,0.3626373626373627,0.41666666666666663,50-75%
gpt-3.5-turbo-1106,0.39999999999999997,0.21935940398931636,0.14285714285714288,0.5833333333333334,50-75%
mpt-30b-chat,0.3511552695176641,0.04761904761904762,0.6,0.39999999999999997,25-50%
