Model,0-25%,25-50%,50-75%,75-100%,Reference Model Quartile,0-25%_count,25-50%_count,50-75%_count,75-100%_count
gpt-4-1106-preview,0.0,0.2373897691724491,0.09799578870122228,0.6888467201936644,75-100%,5,13,15,16
gpt-4-0613,0.26077059961787874,0.2035228946026736,0.24053511772118194,0.48532382559099085,75-100%,14,16,15,16
koala-13b,0.4181210050035454,-0.16329931618554522,0.2581988897471611,0.16329931618554522,0-25%,12,5,4,5
gpt-3.5-turbo-0613,0.37851786199227166,0.1252448582170299,0.008908708063747479,0.48532382559099085,75-100%,14,16,15,16
mistral-medium,0.23570226039551587,0.4181210050035454,0.11253233734905374,0.39139018192821845,75-100%,3,12,14,16
llama-2-13b-chat,0.30662207033593325,0.19437403723927466,0.4651951876632539,0.2035228946026736,25-50%,12,14,15,16
mistral-7b-instruct,0.0,0.4273015845104084,-0.1336306209562122,0.2504897164340598,0-25%,5,13,15,16
gpt-3.5-turbo-0314,0.5574946733380605,-0.2581988897471611,0.0,0.5773502691896258,50-75%,12,4,4,2
vicuna-13b,0.4383570037596047,0.27498597046143514,0.008908708063747479,0.4006938426723769,25-50%,16,16,15,16
gpt-4-0314,0.4721615273786164,0.41117114140372985,-0.1252448582170299,0.36007896737396095,75-100%,15,14,16,16
mixtral-8x7b-instruct-v0.1,-0.5773502691896258,0.04747795383448982,0.13299276232160898,0.5479462546995059,75-100%,2,13,14,16
gemini-pro,-0.5773502691896258,0.12371791482634838,-0.24896479886598458,0.4738704723373514,75-100%,2,7,11,12
claude-2.0,-0.03580574370197164,0.4899789435061113,0.17391361226671942,0.24355900240869968,75-100%,13,15,14,16
vicuna-7b,0.41870927899613153,0.016597653257732305,0.29814239699997197,0.2519763153394848,0-25%,15,11,9,8
guanaco-33b,0.08362420100070908,-0.0563436169819011,0.5163977794943222,-0.32659863237109044,25-50%,12,6,4,5
chatglm3-6b,0.0,0.02010075630518424,0.035784245204865686,0.007856742013183862,0-25%,4,10,15,16
openchat-3.5,0.6531972647421809,0.11618357280412614,-0.1692654532112021,0.0,50-75%,5,11,15,16
pplx-70b-online,0.23570226039551587,-0.2821601053814492,0.3375970120471612,0.39139018192821845,50-75%,3,11,14,16
gpt-3.5-turbo-1106,0.32659863237109044,0.20289921431117264,0.1336306209562122,0.5479462546995059,50-75%,5,13,15,16
mpt-30b-chat,0.3226342771934649,0.041239304942116126,0.48989794855663565,0.32659863237109044,25-50%,12,7,5,5
gpt4all-13b-snoozy,0.39024627133664236,-0.1690308509457033,0.2581988897471611,0.16329931618554522,0-25%,12,6,4,5
llama2-70b-steerlm-chat,-0.23570226039551587,0.44095855184409843,-0.04208273180784324,0.3474396144861517,50-75%,3,8,12,15
gemini-pro-dev-api,-0.23570226039551587,-0.41494133144330764,-0.07013788634640541,0.41870927899613153,75-100%,3,11,12,15
wizardlm-70b,0.2581988897471611,0.27874733666903023,0.026726124191242435,0.4227013964824759,50-75%,4,12,15,16
claude-instant-1,0.18786728732554486,0.1722116800484161,0.36007896737396095,0.18786728732554486,50-75%,16,16,16,16
