Model,0-25%,25-50%,50-75%,75-100%,Reference Model Quartile
chatglm-6b,0.7999999999999999,0.7999999999999999,0.19999999999999998,0.7999999999999999,0-25%
koala-13b,0.7999999999999999,0.0,0.39999999999999997,0.7999999999999999,50-75%
oasst-pythia-12b,0.7999999999999999,0.6,0.6,0.9999999999999999,25-50%
alpaca-13b,0.7999999999999999,0.6,0.7999999999999999,0.7999999999999999,25-50%
vicuna-13b,0.7999999999999999,0.6,0.39999999999999997,0.9999999999999999,50-75%
dolly-v2-12b,0.9999999999999999,0.6,0.10540925533894598,0.7378647873726218,0-25%
stablelm-tuned-alpha-7b,0.9999999999999999,0.9999999999999999,0.39999999999999997,0.7999999999999999,0-25%
llama-13b,0.39999999999999997,0.0,0.11952286093343936,0.35856858280031806,0-25%
fastchat-t5-3b,-0.31622776601683794,0.19999999999999998,0.6,0.6,0-25%
gpt-3.5-turbo,0.9999999999999999,0.7999999999999999,0.6,0.7999999999999999,75-100%
gpt-4,0.9999999999999999,0.6,0.0,0.7999999999999999,75-100%
RWKV-4-Raven-14B,0.39999999999999997,0.9999999999999999,0.7999999999999999,0.9999999999999999,25-50%
claude-v1,-0.39999999999999997,0.19999999999999998,0.0,0.9999999999999999,75-100%
mpt-7b-chat,0.6,0.6,0.39999999999999997,0.9999999999999999,25-50%
palm-2,0.19999999999999998,0.9999999999999999,0.6,0.6,50-75%
claude-instant-v1,-0.31622776601683794,0.6,0.9999999999999999,0.9999999999999999,75-100%
vicuna-7b,-0.7378647873726218,0.19999999999999998,0.39999999999999997,0.6,50-75%
wizardlm-13b,-0.8366600265340756,0.7999999999999999,0.19999999999999998,0.9999999999999999,50-75%
gpt4all-13b-snoozy,,0.31622776601683794,-0.19999999999999998,0.19999999999999998,25-50%
guanaco-33b,-0.6324555320336759,-0.39999999999999997,0.0,0.19999999999999998,75-100%
